streetNumber,streetName,streetType,suburb,postcode,state,geoLocation/latitude,geoLocation/longitude,propertyType,bedrooms,bathrooms,carspaces,price,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,unitNumber
25,East Boundary,Rd,Bentleigh East,3165,Vic,-37.932892,145.0563705,House,3,1,1,,AUSD,C21 on Centre,2017790207,3604,Century 21 On Centre,https://www.domain.com.au/real-estate-agencies/c21bentleigh,https://www.domain.com.au/25-east-boundary-road-bentleigh-east-vic-3165-2017790207,
70b,Kennedy,St,Bentleigh East,3165,Vic,-37.92025,145.0816866,Townhouse,4,3,2,,AUHB,Jellis Craig Bentleigh,2017794304,30117,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,https://www.domain.com.au/70b-kennedy-street-bentleigh-east-vic-3165-2017794304,
58B,Mawby,Rd,Bentleigh East,3165,Vic,-37.9296263,145.0552594,Townhouse,3,2,2,1352500,AUSP,Buxton Bentleigh,2017811471,3811,Buxton Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebentleigh-3811,https://www.domain.com.au/58b-mawby-road-bentleigh-east-vic-3165-2017811471,
37,Stockdale,Av,Bentleigh East,3165,Vic,-37.9173377,145.067535,House,3,1,3,,AUSD,Jellis Craig Bentleigh,2017788275,30117,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,https://www.domain.com.au/37-stockdale-avenue-bentleigh-east-vic-3165-2017788275,
53,Valkstone,St,Bentleigh East,3165,Vic,-37.9143327,145.0584466,House,3,1,1,1795000,AUSD,C21 on Centre,2017790777,3604,Century 21 On Centre,https://www.domain.com.au/real-estate-agencies/c21bentleigh,https://www.domain.com.au/53-valkstone-street-bentleigh-east-vic-3165-2017790777,
36,Vasey,St,Bentleigh East,3165,Vic,-37.9351772,145.0655105,Townhouse,3,3,2,1186000,AUSP,Buxton Bentleigh,2017778787,3811,Buxton Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebentleigh-3811,https://www.domain.com.au/36-vasey-street-bentleigh-east-vic-3165-2017778787,
8,Veronica,St,Bentleigh East,3165,Vic,-37.9253168,145.0762368,House,3,1,2,1270000,AUSD,Gary Peer,2017789512,30997,    Gary Peer,https://www.domain.com.au/real-estate-agencies/garypeer-30997,https://www.domain.com.au/8-veronica-street-bentleigh-east-vic-3165-2017789512,
37,Warwick,St,Bentleigh East,3165,Vic,-37.9207366,145.0706796,House,4,2,3,,AUSD,Jellis Craig Bentleigh,2017792790,30117,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,https://www.domain.com.au/37-warwick-street-bentleigh-east-vic-3165-2017792790,
20,Orsino,Pl,Berwick,3806,Vic,-38.0430504,145.3298377,House,4,2,2,,AUPI,C21 Property Specialists,2017804191,34566, Century 21 Property Specialists,https://www.domain.com.au/real-estate-agencies/century21propertyspecialists-34566,https://www.domain.com.au/20-orsino-place-berwick-vic-3806-2017804191,
21,Peel,St,Berwick,3806,Vic,-38.0290161,145.3503206,House,6,2,2,2000000,AUSA,O'Brien Real Estate,2017798189,17662,OBrien Real Estate Berwick,https://www.domain.com.au/real-estate-agencies/obrienrealestateberwick-17662,https://www.domain.com.au/21-peel-street-berwick-vic-3806-2017798189,
260,Beach,Rd,Black Rock,3193,Vic,-37.9705585,145.0122829,Townhouse,4,2,2,,AUPN,Buxton Sandringham,2017784429,3935,Buxton Real Estate Sandringham,https://www.domain.com.au/real-estate-agencies/buxtonrealestatesandringham-3935,https://www.domain.com.au/260-beach-road-black-rock-vic-3193-2017784429,
27,Potter,St,Black Rock,3193,Vic,-37.963801,145.0157739,House,3,2,3,2640000,AUSD,Buxton Sandringham,2017808489,3935,Buxton Real Estate Sandringham,https://www.domain.com.au/real-estate-agencies/buxtonrealestatesandringham-3935,https://www.domain.com.au/27-potter-street-black-rock-vic-3193-2017808489,
32,Red Bluff,St,Black Rock,3193,Vic,-37.963095,145.015493,Townhouse,3,2,2,1500000,AUSD,Buxton Sandringham,2017804522,3935,Buxton Real Estate Sandringham,https://www.domain.com.au/real-estate-agencies/buxtonrealestatesandringham-3935,https://www.domain.com.au/2-32-red-bluff-street-black-rock-vic-3193-2017804522,2
25,Stevens,Pde,Black Rock,3193,Vic,-37.9646581,145.0211983,House,3,2,3,2315000,AUSD,Buxton Brighton,2017796651,3934,Buxton Real Estate Brighton,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebrighton-3934,https://www.domain.com.au/25-stevens-parade-black-rock-vic-3193-2017796651,
96,Blackburn,Rd,Blackburn,3130,Vic,-37.8281017,145.1525834,Unit,2,1,1,,AUSP,Jellis Craig Whitehorse,2017751212,20157,Jellis Craig Whitehorse,https://www.domain.com.au/real-estate-agencies/jelliscraigwhitehorse-20157,https://www.domain.com.au/3-96-blackburn-road-blackburn-vic-3130-2017751212,3
14,Cootamundra,Cr,Blackburn,3130,Vic,-37.8116863,145.1558432,House,3,2,6,,AUSP,Jellis Craig Whitehorse,2017800767,20157,Jellis Craig Whitehorse,https://www.domain.com.au/real-estate-agencies/jelliscraigwhitehorse-20157,https://www.domain.com.au/14-cootamundra-crescent-blackburn-vic-3130-2017800767,
